app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
ior-t4k,4k,lassen gpfs,weak-scaling,64,498702716.7537317,2.7133230781250015,0.10076071874999841
ior-t4k,4k,lassen gpfs,weak-scaling,128,435102706.1499073,6.326165117187502,0.08578179687500762
ior-t4k,4k,lassen gpfs,weak-scaling,256,461887807.89774483,2.7288298671874998,0.08427968359375124
ior-t4k,4k,lassen gpfs,weak-scaling,512,451368019.2333591,3.8067854824218754,0.08396663476562453
ior-t4k,4k,lassen gpfs,weak-scaling,1024,450242610.9938548,2.6513464111328098,0.08574929003906173
ior-t4k,4k,lassen node-local bb,weak-scaling,64,1078911681.8700566,0.10045698437499773,0.08510757812499845
ior-t4k,4k,lassen node-local bb,weak-scaling,128,1070673354.611596,0.12152466406250152,0.10633353124999935
ior-t4k,4k,lassen node-local bb,weak-scaling,256,1083938981.5573406,0.12130599609374906,0.1063832695312503
ior-t4k,4k,lassen node-local bb,weak-scaling,512,1076020321.7738068,0.12129009570312632,0.10630575000000149
ior-t4k,4k,lassen node-local bb,weak-scaling,1024,1079984158.6612663,0.1505022441406249,0.13540679785156295
